id,name,album_id,artists_id,duration_ms,explicit,isrc,track_number
5Ved8UIuLCJkcCZvp7Oc1C,Blue,5j70jrJlMUJq2vDcJHf2zU,"['6pGuw52TrX5SZPdQSxAvgW', '2s4evfvMB1HbNMGak6pDUB']",195731,False,TCAHA2353744,9
0HWWt7Nv69TSuaVc5Woy7O,Little Blue (feat. Brandi Carlile),1vAsPmIGCKf9Pt2p4feAfa,"['0QWrMNukfcVOmgEU0FEDyD', '2sG4zTOLvjKG1PSoOyf5Ej']",265306,False,GBUM72307989,1
6JOqUUsfwG22CfLKAmq5v0,Entangled Life,4gNYz0tvcVDBz3MxY4Zgsh,"['4DeNifehM5D1zRykX8512D', '6hV6oxGLeLFw17DGjIPkYD']",43152,False,GBKPL2019977,1
6hM35CfZMbhVm3XRwsotn7,One Day,0O7OksUTZP06QhuRoUzzKG,"['1n02UdnML6G4wR162YsSRi', '0QWrMNukfcVOmgEU0FEDyD']",268625,False,QM24S1802301,1
6uYhrewzoLkE4HOEEOVl2i,Fall,0s4MqsG2KEwWeYIL0CnhbG,['0BXnfQpsxFevtKePq6eX4y'],112384,False,QZDA82286021,1
500UbifF9XkKd2HgqmsnKu,The Golden Hour,4oP74Bm7s1nytdCkp1geHL,['7jOY91ZU7kn86slH3fBbaD'],118937,False,QZDA41873703,6
08F9kUK06EzJVWNsus1Xgq,Darlin' don't Be Late,5uV5cai6VPXvq9fmtvlRWn,['2a4lU7F8toqKpb5v6Ftqya'],307402,False,TCAEO1996123,8
0ivwnHxm9O76ruklFPWCpp,Once You (feat. Suzie Collier),47bMDS4CMLbqcIVjEMWUjK,"['0QWrMNukfcVOmgEU0FEDyD', '7JYdpWAsiqzrmMB3qxkEbI', '5gGbAKDXhDoBXIJe8SuBvX', '5XIFwcSH0tPFy0BcETPvKa']",563999,False,GBUM71807064,8
7E2MggUPZ0v9lIM9yQhBas,Elvis,2mkrh0IGlWoh1AtKS7cyCK,['7MZIDz9tE0iPbZHmA1XaJ8'],202372,False,USLZJ2209508,1
1qzhvRq7oZLCZt4wVLvoVN,Four,5buuVlUsXgk31H2obh5mLE,['458aS6ALc3QkzwfR5USt34'],158373,True,USA2P1950643,5
7uGD7HQMi8zFj1JEvYK1ot,Big Cloud,3Wc0YFoix2vAhwc8UmRkFJ,['0HMLp79IAd9Z8zMgxqpyxn'],189727,False,USA2B1700327,3
2cX5koYbXtrs4IpnVxHx7A,Trophy,4hlZNsmD2CoVWAbr6GnEYb,['4kSGbjWGxTchKpIxXPJv0B'],192373,False,QMB622100307,7
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),3xybjP7r2VsWzwvDQipdM0,"['20wkVLutqVOYrc0kxFs7rA', '3Y7RZ31TRPVadSFVy1o8os']",209831,False,CADDS1700022,2
3jfZ9M23l0L7RxzYMTgBTv,Looking Out for You,7slouenWhZDdDZibkS4nR3,['4jCIAMb0zEArF3GYEYzoDk'],179499,False,GBJET1500070,1
4FRcooqZAeiri8Gynx3TF3,Belly Side Up,7K5KSdrusSD2O70NyAFhJk,['69f5J6OIgAP1G54zQfesv1'],255160,False,GBDHC1778908,8
5LrN7yUQAzvthd4QujgPFr,Here With Me,3rrrTOHiXGzuW4FP7t0O1A,['5y8tKLUfMvliMe8IKamR32'],242484,False,QZMEM2209263,2
51IQiksa4xcv444XWJ7tDs,Set it on Fire (Extended Version),56WxbRcxGJdlLMJyCL8r6D,['1kDqy7SpqyJ7aZi7cqSBis'],295000,False,QM6N22278252,1
2JEZdhsjF848Elx2XO3onI,Typewrite Lesson,3Wml3n8kxQ1S14zXynLduY,['2vJObElaIZWYDLpiXiJMo9'],346226,False,JPWPO1071117,17
3xhZUcAznddvVl0mWE9foc,Who I'll Be,6Nezw5bO4YN7hrNa2xBxcz,['6brxwggDm8Er0hBtxO0JrW'],264228,False,QZDA61904197,4
0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,2dIGnmEIy1WZIcZCFSj6i8,['3AA28KZvwAUcZuOKwyblJQ'],233866,False,GBAYE1000010,10
5ozUuxIQmRNmM38XlIhKxg,Swarm Swamp Swim,6Z5g1Vx3OsI2ay8xbVXbYT,"['1AgxgADPuRIW1wyaA4OKcB', '6hV6oxGLeLFw17DGjIPkYD']",185370,False,GBVHN1900009,1
2HUxk47ocPuBDzOBIj8xG7,"Skeleton Appreciation Day in Vestal, NY (Bones)",4x833aD0AmISeZZE2lx3Hn,['13pwqHspIhcy1IcAooefso'],244560,True,QMAAK1576502,2
0ACoy3rzW779jyh76PI3UD,On Top of the World,2IuEv7SRKYayOZ6CKUzdZE,['4cnFw4bkIWVGKUBsr93OS5'],239044,False,TCAFQ2155611,1
6mPsXbce09tlhJSrBtLVcx,Stone Or Lavender,456WeVeZk38VJuqg2sL7QG,['43JlwunhXm1oqdKyOa2Z9Y'],329800,False,GBCFB2100033,11
1ZgMsA55GIY7ICkQh5MILA,Space Song,4SkZTSXdPpzTbf6C0m1UKv,['56ZTgzPBDge0OvCGgMO3OY'],320466,False,USSUB1512203,3
1FxJuNa4VIHtK45sFAR2ab,Laughing on the Outside,74VMM7JU2EqRQEWxRjhQc3,['6QwBhFIOXWri9BNtwoIlKY'],140453,False,USCW61705209,9
