id,name,genres,images
7t2C8WwLyKUKRe0LVh8zl9,blessthefall,"['melodic metalcore', 'metalcore', 'pop punk', 'screamo']","['https://i.scdn.co/image/ab6761610000e5eb965130dadfdf76ccef54c926', 'https://i.scdn.co/image/ab67616100005174965130dadfdf76ccef54c926', 'https://i.scdn.co/image/ab6761610000f178965130dadfdf76ccef54c926']"
4MzJMcHQBl9SIYSjwWn8QW,Spiritbox,['canadian metalcore'],"['https://i.scdn.co/image/ab6761610000e5eb1f497cb1d8c477c3f5498f03', 'https://i.scdn.co/image/ab676161000051741f497cb1d8c477c3f5498f03', 'https://i.scdn.co/image/ab6761610000f1781f497cb1d8c477c3f5498f03']"
3uPce3TKw7cjheMNhuhNs9,UnityTX,['metallic hardcore'],"['https://i.scdn.co/image/ab6761610000e5ebf770b2aa245f7bb23ec1317f', 'https://i.scdn.co/image/ab67616100005174f770b2aa245f7bb23ec1317f', 'https://i.scdn.co/image/ab6761610000f178f770b2aa245f7bb23ec1317f']"
2LuVfFRyJa4bxFrvqTZ4Ts,Strange Bones,"['british alternative rock', 'english indie rock']","['https://i.scdn.co/image/ab6761610000e5eb30d6e97ca1a6d83790f29792', 'https://i.scdn.co/image/ab6761610000517430d6e97ca1a6d83790f29792', 'https://i.scdn.co/image/ab6761610000f17830d6e97ca1a6d83790f29792']"
3HVdAiMNjYrQIKlOGxoGh5,Rob Zombie,"['alternative metal', 'hard rock', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']","['https://i.scdn.co/image/ab6761610000e5eb40a6cfc37fa94d54d28aca22', 'https://i.scdn.co/image/ab6761610000517440a6cfc37fa94d54d28aca22', 'https://i.scdn.co/image/ab6761610000f17840a6cfc37fa94d54d28aca22']"
4zoN3D2RviWzWeHvkT3wWO,Lake Malice,[],"['https://i.scdn.co/image/ab6761610000e5ebf7aac9115d16c95db3e44a9b', 'https://i.scdn.co/image/ab67616100005174f7aac9115d16c95db3e44a9b', 'https://i.scdn.co/image/ab6761610000f178f7aac9115d16c95db3e44a9b']"
7lAi1Cv19DsukgGjbZQxFg,Annisokay,"['german metalcore', 'german post-hardcore', 'metalcore', 'trancecore']","['https://i.scdn.co/image/ab6761610000e5eb86a1875da5de310ef3b47dbb', 'https://i.scdn.co/image/ab6761610000517486a1875da5de310ef3b47dbb', 'https://i.scdn.co/image/ab6761610000f17886a1875da5de310ef3b47dbb']"
4iJLPqClelZOBCBifm8Fzv,Pierce The Veil,"['modern rock', 'pop punk', 'screamo']","['https://i.scdn.co/image/ab6761610000e5eb6f8f8d13be17bf486219edc7', 'https://i.scdn.co/image/ab676161000051746f8f8d13be17bf486219edc7', 'https://i.scdn.co/image/ab6761610000f1786f8f8d13be17bf486219edc7']"
5ZPr0RHsR3DrAhtsYMsfHR,Jesus Piece,"['black punk', 'metallic hardcore', 'pennsylvania hardcore']","['https://i.scdn.co/image/ab6761610000e5eb25952629ccca24e45e4f098f', 'https://i.scdn.co/image/ab6761610000517425952629ccca24e45e4f098f', 'https://i.scdn.co/image/ab6761610000f17825952629ccca24e45e4f098f']"
630wzNP2OL7fl4Xl0GnMWq,BABYMETAL,"['idol rock', 'j-metal', 'kawaii metal']","['https://i.scdn.co/image/ab6761610000e5eb2c0d80b9de67c2819bb4dbc0', 'https://i.scdn.co/image/ab676161000051742c0d80b9de67c2819bb4dbc0', 'https://i.scdn.co/image/ab6761610000f1782c0d80b9de67c2819bb4dbc0']"
1NRudBLaT84LXxfsYdFMhB,WARGASM (UK),[],"['https://i.scdn.co/image/ab6761610000e5eb38879c26fa0d403aac7b5ddd', 'https://i.scdn.co/image/ab6761610000517438879c26fa0d403aac7b5ddd', 'https://i.scdn.co/image/ab6761610000f17838879c26fa0d403aac7b5ddd']"
1Hse4lep7I9RUgQ3Ro1NgX,Irving Force,"['cyberpunk', 'nightrun', 'synthwave']","['https://i.scdn.co/image/ab6761610000e5eb7f0b2c2730f596e43e7fac16', 'https://i.scdn.co/image/ab676161000051747f0b2c2730f596e43e7fac16', 'https://i.scdn.co/image/ab6761610000f1787f0b2c2730f596e43e7fac16']"
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']","['https://i.scdn.co/image/ab6761610000e5eba8ce348f34f18241d3249fa9', 'https://i.scdn.co/image/ab67616100005174a8ce348f34f18241d3249fa9', 'https://i.scdn.co/image/ab6761610000f178a8ce348f34f18241d3249fa9']"
7nt6S4klYHg4I7Q4lTSmc0,Glassjaw,"['emo', 'long island punk', 'post-hardcore', 'screamo']","['https://i.scdn.co/image/ab6761610000e5eb977cd2b265179d31a2b2de1f', 'https://i.scdn.co/image/ab67616100005174977cd2b265179d31a2b2de1f', 'https://i.scdn.co/image/ab6761610000f178977cd2b265179d31a2b2de1f']"
6GcRo52zMhZXYOsEkMyMrX,Daryl Palumbo,[],"['https://i.scdn.co/image/ab6761610000e5ebe4e4ee41c1b5d8d68faf30f6', 'https://i.scdn.co/image/ab67616100005174e4e4ee41c1b5d8d68faf30f6', 'https://i.scdn.co/image/ab6761610000f178e4e4ee41c1b5d8d68faf30f6']"
3NP4jJcW3R6qO6rbtnH0wn,MARO,['musica portuguesa contemporanea'],"['https://i.scdn.co/image/ab6761610000e5eb604b9fa751e4dc8c4cb50f38', 'https://i.scdn.co/image/ab67616100005174604b9fa751e4dc8c4cb50f38', 'https://i.scdn.co/image/ab6761610000f178604b9fa751e4dc8c4cb50f38']"
3VvmUsYPzFheK2wJGKcXxp,The Correspondents,['electro swing'],"['https://i.scdn.co/image/ab6761610000e5eb1b7d231d3d0be6107888300e', 'https://i.scdn.co/image/ab676161000051741b7d231d3d0be6107888300e', 'https://i.scdn.co/image/ab6761610000f1781b7d231d3d0be6107888300e']"
5932gYdqLCu1ftKVXf1PO4,NASAYA,['stutter house'],"['https://i.scdn.co/image/ab6761610000e5eb027b442396f3a9edf568d451', 'https://i.scdn.co/image/ab67616100005174027b442396f3a9edf568d451', 'https://i.scdn.co/image/ab6761610000f178027b442396f3a9edf568d451']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"['art pop', 'pop']","['https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da', 'https://i.scdn.co/image/ab676161000051744a21b4760d2ecb7b0dcdc8da', 'https://i.scdn.co/image/ab6761610000f1784a21b4760d2ecb7b0dcdc8da']"
12j6dJrPXanCBwY599pZxf,Matt Maltese,"['indie anthem-folk', 'indie pop', 'pov: indie']","['https://i.scdn.co/image/ab6761610000e5eb5fafed7ab1abb7e5938d0ecb', 'https://i.scdn.co/image/ab676161000051745fafed7ab1abb7e5938d0ecb', 'https://i.scdn.co/image/ab6761610000f1785fafed7ab1abb7e5938d0ecb']"
7jOY91ZU7kn86slH3fBbaD,Louie Zong,['weirdcore'],"['https://i.scdn.co/image/ab6761610000e5ebe58ed665cbaf7af02b69dabd', 'https://i.scdn.co/image/ab67616100005174e58ed665cbaf7af02b69dabd', 'https://i.scdn.co/image/ab6761610000f178e58ed665cbaf7af02b69dabd']"
1AgxgADPuRIW1wyaA4OKcB,Tom Rosenthal,['british singer-songwriter'],"['https://i.scdn.co/image/ab6761610000e5eb18e3b26158842962e9400bcf', 'https://i.scdn.co/image/ab6761610000517418e3b26158842962e9400bcf', 'https://i.scdn.co/image/ab6761610000f17818e3b26158842962e9400bcf']"
0QWrMNukfcVOmgEU0FEDyD,Jacob Collier,['uk alternative pop'],"['https://i.scdn.co/image/ab6761610000e5eb6b6a07bd9cceae9bd48be09b', 'https://i.scdn.co/image/ab676161000051746b6a07bd9cceae9bd48be09b', 'https://i.scdn.co/image/ab6761610000f1786b6a07bd9cceae9bd48be09b']"
2s4evfvMB1HbNMGak6pDUB,Jacob Jeffries,[],"['https://i.scdn.co/image/ab6761610000e5ebb444cd5f36c06d7ee9bd94e9', 'https://i.scdn.co/image/ab67616100005174b444cd5f36c06d7ee9bd94e9', 'https://i.scdn.co/image/ab6761610000f178b444cd5f36c06d7ee9bd94e9']"
13pwqHspIhcy1IcAooefso,Will Wood and the Tapeworms,"['new jersey indie', 'pov: indie']","['https://i.scdn.co/image/ab6761610000e5eb16413ab455ba435df5d71ff7', 'https://i.scdn.co/image/ab6761610000517416413ab455ba435df5d71ff7', 'https://i.scdn.co/image/ab6761610000f17816413ab455ba435df5d71ff7']"
2sG4zTOLvjKG1PSoOyf5Ej,Brandi Carlile,"['acoustic pop', 'ectofolk', 'folk', 'indie folk', 'lilith', 'modern folk rock', 'new americana']","['https://i.scdn.co/image/ab6761610000e5eb26e35e5ceab6998278006481', 'https://i.scdn.co/image/ab6761610000517426e35e5ceab6998278006481', 'https://i.scdn.co/image/ab6761610000f17826e35e5ceab6998278006481']"
